source_index,source_name,source_hebrew,source_scope,variant_label,hebrew_variant,note,standard,mispar_gadol,base12_standard,base12_mispar_gadol,collapse_standard,collapse_mispar_gadol,collapse_base12_standard,collapse_base12_mispar_gadol,standard_base12_palindrome,mispar_base12_palindrome,final_letter_notes,interesting_hits,gained_against_original,lost_against_original
5,Adonai,אדני,literal-heading,original,אדני,paper heading,65,65,55,55,11,11,10,10,yes,yes,,mg-base12-palindrome; std-base12-palindrome,,
5,Adonai,אדני,literal-heading,add_ha_first_word,האדני,mechanical addition of definite article to first word,70,70,5A,5A,7,7,6,6,no,no,,,,mg-base12-palindrome; std-base12-palindrome
5,Adonai,אדני,literal-heading,add_initial_el,אל אדני,mechanical addition of initial El before a single-word title,96,96,80,80,6,6,8,8,no,no,,mg-base12-collapse-8; std-base12-collapse-8,mg-base12-collapse-8; std-base12-collapse-8,mg-base12-palindrome; std-base12-palindrome
6,Shaddai,שדי,literal-heading,original,שדי,paper heading,314,314,222,222,8,8,6,6,yes,yes,,mg-base12-palindrome; mg-collapse-8; mg-constant-314:Shaddai; mg-outer-2-frame:222; std-base12-palindrome; std-collapse-8; std-constant-314:Shaddai; std-outer-2-frame:222,,
6,Shaddai,שדי,literal-heading,add_ha_first_word,השדי,mechanical addition of definite article to first word,319,319,227,227,4,4,11,11,no,no,,,,mg-base12-palindrome; mg-collapse-8; mg-constant-314:Shaddai; mg-outer-2-frame:222; std-base12-palindrome; std-collapse-8; std-constant-314:Shaddai; std-outer-2-frame:222
6,Shaddai,שדי,literal-heading,add_initial_el,אל שדי,mechanical addition of initial El before a single-word title,345,345,249,249,12,12,6,6,no,no,,mg-collapse-12; mg-constant-345:El-Shaddai/Moses; std-collapse-12; std-constant-345:El-Shaddai/Moses,mg-collapse-12; mg-constant-345:El-Shaddai/Moses; std-collapse-12; std-constant-345:El-Shaddai/Moses,mg-base12-palindrome; mg-collapse-8; mg-constant-314:Shaddai; mg-outer-2-frame:222; std-base12-palindrome; std-collapse-8; std-constant-314:Shaddai; std-outer-2-frame:222
7,Ehyeh Asher Ehyeh,אהיה אשר אהיה,literal-heading,original,אהיה אשר אהיה,paper heading,543,543,393,393,12,12,6,6,yes,yes,,mg-base12-palindrome; mg-collapse-12; std-base12-palindrome; std-collapse-12,,
7,Ehyeh Asher Ehyeh,אהיה אשר אהיה,literal-heading,add_ha_first_word,האהיה אשר אהיה,mechanical addition of definite article to first word,548,548,398,398,8,8,2,2,no,no,,mg-collapse-8; std-collapse-8,mg-collapse-8; std-collapse-8,mg-base12-palindrome; mg-collapse-12; std-base12-palindrome; std-collapse-12
8,El Elyon,אל עליון,literal-heading,original,אל עליון,paper heading,197,847,145,5A7,8,10,10,4,no,no,,std-collapse-8,,
8,El Elyon,אל עליון,literal-heading,remove_initial_el,עליון,mechanical removal of initial El,166,816,11A,580,4,6,12,4,no,no,,std-base12-collapse-12,std-base12-collapse-12,std-collapse-8
